otu	Medelli­n	Bogota	Barranquilla	Bucaramanga	Cali
Otu00001	108,5354	67,3256	104,5326	184,5063	138,9417
Otu00002	650,1818	780,1977	888,9565	1401,3797	1478,8155
Otu00003	846,4444	663,4070	347,0435	196,9367	122,5534
Otu00004	547,0404	362,9535	2089,8913	1120,6203	667,5534
Otu00005	202,3434	272,9186	317,7717	307,6329	160,2233
Otu00006	841,5556	1002,7326	996,2283	1288,7975	1294,4175
Otu00007	718,1717	643,3837	578,3261	290,9241	181,1553
Otu00008	1130,7677	807,2093	575,7391	163,0633	111,4951
Otu00009	315,9697	123,1628	688,5543	508,8101	378,8932
Otu00010	183,4040	172,6279	386,9348	110,0759	147,0388
Otu00011	464,0202	578,5349	324,0543	204,5823	279,6505
Otu00012	334,8081	365,6744	238,7717	357,0886	233,7864
Otu00013	335,2525	476,4070	268,7826	432,0886	299,2427
Otu00014	248,2929	245,1860	291,1087	284,4810	123,1845
Otu00016	174,9697	187,0581	80,7717	56,9114	65,5534
Otu00017	235,3535	281,6279	317,1087	302,2025	181,7087
Otu00019	82,8485	144,4186	142,5326	244,5316	87,7670
Otu00020	414,5859	244,8372	148,5978	40,4304	25,8252
Otu00021	75,2424	71,4767	173,7935	207,4557	99,5049
Otu00022	155,7475	164,5930	37,5652	15,5823	20,9612
Otu00024	85,5152	120,2209	213,1957	264,5316	80,5049
Otu00025	143,1616	105,4651	53,7609	127,3038	65,1942
Otu00026	44,1414	52,6395	55,2609	116,6076	79,9515
Otu00027	65,4646	101,5116	130,6630	97,3291	50,9515
Otu00028	171,5152	116,5465	53,9022	203,4684	83,6699
Otu00029	129,5354	123,2093	150,1522	83,4304	66,4660
Otu00030	75,0606	85,1512	72,3913	46,9747	18,0388
Otu00031	80,8081	91,2674	46,6087	26,5949	28,9515
Otu00033	18,5051	20,6860	20,1196	35,3544	17,0680
Otu00034	217,0909	357,1279	129,1630	51,9747	20,3786
Otu00035	45,4949	69,9767	43,2391	60,2152	17,7184
Otu00036	40,7172	79,3953	11,0652	19,4937	22,8350
Otu00037	80,9192	64,7093	84,9565	114,3165	45,6214
Otu00040	16,6566	17,2791	30,4783	36,5316	12,3301
Otu00041	58,4141	62,6628	38	32,2785	17,5534
Otu00043	25,2020	30,5930	25,3370	52,8101	23,7864
Otu00044	26,2323	34,7558	18,3804	13,9241	16,3883
Otu00045	22,8788	24,8605	19,5543	19,9114	20,3204
Otu00046	38,9192	52,0698	46,4239	38,7089	11,2427
Otu00047	96,4848	74,3721	49,3587	32,3924	30,2621
Otu00049	13,2323	5,8023	7,7826	12,3418	10,8350
Otu00050	48,6263	50,2558	25,8043	55,5443	47,2039
Otu00051	15,0404	42,6860	14,3370	7,5316	10,9417
Otu00053	8,9798	2,1512	36,5217	4,1392	19,4369
Otu00056	42,4646	28,6628	23,7500	21,1392	14,6990
Otu00057	42,9899	11,8953	15,4674	8,4684	10,5340
Otu00058	35,7677	30,0581	16,3804	3,2278	4,0194
Otu00059	48,9192	44,4651	44,6087	140,4051	24,3981
Otu00060	41,2222	42,4767	10,4565	5,7722	6,3204
Otu00063	165,3434	190,6977	87,3478	154,7848	97,2330
Otu00064	54,5859	51,0116	62,7935	39,9114	22,1845
Otu00066	22,2727	41,5233	23,0652	43,2658	10,2136
Otu00068	16,4444	48,2674	87,3152	20,2911	30,5049
Otu00073	43,2828	87,7791	35,6304	96,5570	50,0097
Otu00074	13,7374	16,7326	5,1957	3,3291	3,7087
Otu00075	52,6869	70,8837	40,9891	29,7595	15,2718
Otu00076	9,1111	6,0349	15,4565	12,3291	23,1553
Otu00077	69,7677	24,5698	22,1739	53,8987	30,8155
Otu00078	45,9192	33,4419	9,8478	7,4051	7,3398
Otu00080	11,0909	11,2093	8,6630	21,2405	10,1942
Otu00082	28,4747	28,2558	28,7174	37,3418	22,7767
Otu00083	50,0101	53,3023	41,6739	17,7468	8,7767
Otu00084	8,5152	22,5349	10,1196	13,9620	13,5631
Otu00085	118,0404	71,8721	72,7717	50,5696	23,7864
Otu00093	18,6768	26,6047	10,0435	20,3038	17,2330
Otu00095	5,6061	3,2558	4,2391	5,8101	3,5437
Otu00097	24,8081	26,3140	13,8587	6,2911	7,8155
Otu00098	17,0303	44,1977	5,1739	7,3165	16,0874
Otu00099	7,9899	5,4070	7,9022	4,1266	4,4272
Otu00103	22,9798	45,3837	9,5870	12,1772	27,4175
Otu00104	71,4444	85,4767	13,4457	4,3165	1,5243
Otu00105	76,4545	35,3953	9,0217	37,8228	3,8350
Otu00108	14,3434	23,5233	16,9891	18,7342	10,7767
